Datetime,Water Level (m)
2024-10-11 18:00:00,-0.21865301
2024-10-11 19:00:00,-0.4831543
2024-10-11 20:00:00,-0.5596821
2024-10-11 21:00:00,-0.3652857
2024-10-11 22:00:00,0.038742434
2024-10-11 23:00:00,0.48510823
2024-10-12 00:00:00,0.86808276
2024-10-12 01:00:00,1.1623439
2024-10-12 02:00:00,1.3205627
2024-10-12 03:00:00,1.2590594
2024-10-12 04:00:00,0.98110026
2024-10-12 05:00:00,0.5476645
2024-10-12 06:00:00,0.09992034
2024-10-12 07:00:00,-0.34795138
2024-10-12 08:00:00,-0.6916072
2024-10-12 09:00:00,-0.8720361
2024-10-12 10:00:00,-0.7336987
2024-10-12 11:00:00,-0.30720058
2024-10-12 12:00:00,0.17340228
2024-10-12 13:00:00,0.5861352
2024-10-12 14:00:00,0.91554624
2024-10-12 15:00:00,1.1011626
2024-10-12 16:00:00,1.1049864
2024-10-12 17:00:00,0.8700169
2024-10-12 18:00:00,0.44120583
2024-10-12 19:00:00,-0.010184291
2024-10-12 20:00:00,-0.43462518
2024-10-12 21:00:00,-0.75998074
2024-10-12 22:00:00,-0.7754443
2024-10-12 23:00:00,-0.34756726
2024-10-13 00:00:00,0.2341099
2024-10-13 01:00:00,0.74351925
2024-10-13 02:00:00,1.1584525
2024-10-13 03:00:00,1.4408902
2024-10-13 04:00:00,1.5042962
2024-10-13 05:00:00,1.2812041
2024-10-13 06:00:00,0.8237112
2024-10-13 07:00:00,0.2641268
2024-10-13 08:00:00,-0.2791336
2024-10-13 09:00:00,-0.7938007
2024-10-13 10:00:00,-1.1133096
2024-10-13 11:00:00,-1.0224978
2024-10-13 12:00:00,-0.37652218
2024-10-13 13:00:00,0.27671093
2024-10-13 14:00:00,0.79876196
2024-10-13 15:00:00,1.1800383
2024-10-13 16:00:00,1.4112618
2024-10-13 17:00:00,1.400207
2024-10-13 18:00:00,1.0963951
2024-10-13 19:00:00,0.5678897
2024-10-13 20:00:00,0.02321301
2024-10-13 21:00:00,-0.54281926
2024-10-13 22:00:00,-0.9574861
2024-10-13 23:00:00,-1.0584754
2024-10-14 00:00:00,-0.51286674
2024-10-14 01:00:00,0.2359275
2024-10-14 02:00:00,0.88431203
2024-10-14 03:00:00,1.3373953
2024-10-14 04:00:00,1.655852
2024-10-14 05:00:00,1.7037909
2024-10-14 06:00:00,1.4041193
2024-10-14 07:00:00,0.86836183
2024-10-14 08:00:00,0.24885279
2024-10-14 09:00:00,-0.36010587
2024-10-14 10:00:00,-0.9501191
2024-10-14 11:00:00,-1.3008277
2024-10-14 12:00:00,-1.0914927
2024-10-14 13:00:00,-0.20035109
2024-10-14 14:00:00,0.58134735
2024-10-14 15:00:00,1.1552887
2024-10-14 16:00:00,1.5647551
